sentence_id,sentence,extracted_name,method
1,王小明今天去了北京大学。,王小明,api
2,李华和张伟一起参加了上海的学术会议。,张伟,api
3,"据央视报道,孙强对最新的政策表示支持。",孙强,api
4,"今天天气很好,适合户外活动。",,api
5,我们要保持良好的心态去面对挑战。,,api
6,我与张宝彤同志结识的媒介，是他的书法作品。一次，他办展览，携作品来，谦恭地要我指点，我立即被他那厚重而又富有灵气的作品所感染。,张宝彤,api
7,本报讯纪念我国著名武术家孙存周诞辰110周年的文集（由孙叔容等编著）最近由人民体育出版社出版。,,api
8,在这些日本同学中，我特别要提到濑尾澄江，她和我住在同一宿舍——娜安碧珈楼。,,api
9,谢觉哉的读书之道。刘颖谢觉哉在工作。,刘颖,api
10,子贡的这种看法，显然是错误的。,,api
11,对于这一派的儒家学者，顾炎武曾有如次的批评。,,api
12,在治黄实践中，也出现过一些杰出的治水人物，如东汉的王景、清代的陈潢等。,王景,api
12,在治黄实践中，也出现过一些杰出的治水人物，如东汉的王景、清代的陈潢等。,陈潢,api
13,当决口初期，孙禁曾提出由笃马河入海的改河方案，立即遭到许商的反对。许商认为，当时黄河泛滥离不开“古说九河”区域，而孙禁建议的笃马河不合于禹河旧迹，不可采用。,,api
14,与此同时，李寻和解光也认为，可乘黄河决口的趋势，让河道自己找寻禹河故迹。稍后，以研究《禹贡》著称的平当，再一次提出了治河应按禹河原则的主张。,,api
15,如宋代的李垂、张商英，明代的江良材、黄绾，以及清代的胡渭等人，在他们的言论里都留下不同程度的反映。,,api
16,当时范百禄等认为，这是一百多年以来，“未有大河安流合于禹迹如此之利便者”。,范百禄,api
17,元代贾鲁治河在堵口技术方面有所创造，取得了卓越成就。,,api
18,好像小的时候，看朱熹的故事，知道这儿是学人荟萃的地方。,,api
19,黄兴、蔡锷、毛泽东、蔡和森，都在此留下过痕迹。,黄兴,api
19,黄兴、蔡锷、毛泽东、蔡和森，都在此留下过痕迹。,蔡锷,api
19,黄兴、蔡锷、毛泽东、蔡和森，都在此留下过痕迹。,毛泽东,api
19,黄兴、蔡锷、毛泽东、蔡和森，都在此留下过痕迹。,蔡和森,api
20,朱熹的夫子之言竟在脑子里盘旋不已。,,api
